@amora_toge,n
@sujunesia in my dream #TeamSuperJunior,n
@C_MichelleJKT48 cakep le......... *rumahnya,n
Banyak terima kasih kepada salah satu band yahuuud pengisi acara penutupan Geneng Street Art… https://t.co/XEBA8OibD9,n
Sebelum besok berjumpa zombie (with Annatasya Oktavianty at Braga Art Cafe) — https://t.co/sRjXFL6kV9,n
???????? (with Dian at @gastia) — https://t.co/0aspzPwkbW,s
???????? (with Sisilia at Meet UP Coffee &amp; Snack Bar) — https://t.co/1gcFvmgTNd,s
Rumah kedua jir (at Central Park) — https://t.co/BbFDCJjR6P,n
"Buat sedikit nglegain biar gk galau lg,, udah download fancam konser KRY kmren #TeamSuperJunior #SoompiAwards2015",n
???? (with ???????? at Ayam Bakar Primarasa) — https://t.co/cBS9hYJus6,s
"SEMANGAT !????????? (with Desna, Ardan, and 2 others at Dunkin Donut Pengadilan) — https://t.co/NJUr7TFY30",n
\(*o*)/ • Banyak teman - banyak rezeki. Kita tampil beda bukan tampil ngesok. Kita? Cinta… https://t.co/Dx97h2oma3,n
"Adidas Kids Faito Green/Silver/Black White Camo Size 32, 34 &amp; 35 BNWB IDR 150K @CasualStand @EMDYstore @SndyShoesID https://t.co/PQnaR2DCBT",s
"""@PsikologID: Berbohong demi kebaikan, hanya akan memperburuk segala sesuatu, krn tdk akan ada kebenaran yg bs dipertahankan dgn kepalsuan",n
JH Loli Bag Bahan : Kulit Sintetis Harga ecer : 175.000 Diatas 5 pc : 170.000 Detail :… (at Toko Nonkie) [pic] — https://t.co/3Gvt6jrpRY,s
Only you #SOOMPIAWARDS2015 #Teamsuperjunior,n
?? (at Tol Pejagan) — https://t.co/sd0y1QiDPu,s
???????????? @ Dunia Fantasi (DUFAN) - Taman Impian Jaya Ancol https://t.co/I7KVZKfEGB,s
https://t.co/FGiTSzeYf5,s
yaelaah ga nonton lagi dah,n
